"participant","color","congruency","prop.congr","error","IT","MT","AUC"
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",37.0999999940395,1149.90000000596,1764.41187165355
"2025-12-11-14-06-31","Vert","congruent",NA,"no",141.59999999404,796.29999999702,6979.81235168843
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",23.9000000059605,1057.79999999702,5534.46894068078
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",9.1000000089407,534.09999999404,662.811337139743
"2025-12-11-14-06-31","Rouge","incongruent",NA,"no",118,793.70000000298,3745.98385266011
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",205.70000000298,660.79999999702,5489.52693205357
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",99.8999999910593,550.40000000596,2126.77132841736
"2025-12-11-14-06-31","Vert","congruent",NA,"no",133.100000008941,733.399999991059,2191.42015795233
"2025-12-11-14-06-31","Bleu","congruent",NA,"no",15.7000000029802,1017.20000000298,4412.95575868035
"2025-12-11-14-06-31","Vert","congruent",NA,"no",28.7999999970198,883.29999999702,5622.1779703872
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",329.59999999404,577.40000000596,3428.31008476799
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",223.899999991059,2182.29999999702,8194.78169521743
"2025-12-11-14-06-31","Vert","congruent",NA,"no",283.29999999702,1399.80000001192,9778.01475886458
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",12.2000000029802,1533.20000000298,1358.64201961267
"2025-12-11-14-06-31","Jaune","congruent",NA,"no",20.7000000029802,983.40000000596,5111.72812912663
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",14.2000000029802,2407.40000000596,6302.5947980548
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",235.90000000596,801.399999991059,994.125052905391
"2025-12-11-14-06-31","Vert","incongruent",NA,"no",35.0999999940395,1945.5,27631.4611164363
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",34.7999999970198,1322,5827.54344311698
