"participant","start.x","start.y","end.x","end.y"
"2025-12-17-14-14-09",815,842,1190,311
"2025-12-17-14-14-09",773,794,942,125
"2025-12-17-14-14-09",753,842,428,316
"2025-12-17-14-14-09",842,820,603,154
"2025-12-17-14-14-09",749,842,602,124
"2025-12-17-14-14-09",825,828,622,117
"2025-12-17-14-14-09",817,830,979,113
"2025-12-17-14-14-09",796,827,1283,317
"2025-12-17-14-14-09",815,839,1003,89
"2025-12-17-14-14-09",797,816,463,273
"2025-12-17-14-14-09",773,813,1180,348
"2025-12-17-14-14-09",791,840,1135,317
"2025-12-17-14-14-09",796,811,966,120
"2025-12-17-14-14-09",734,844,465,329
"2025-12-17-14-14-09",841,837,1142,327
"2025-12-17-14-14-09",784,817,937,177
"2025-12-17-14-14-09",831,841,445,346
"2025-12-17-14-14-09",826,824,1030,112
"2025-12-17-14-14-09",781,819,596,131
"2025-12-17-14-14-09",824,848,422,362
"2025-12-17-14-14-09",782,817,549,178
"2025-12-17-14-14-09",797,822,402,399
"2025-12-17-14-14-09",844,842,1145,394
"2025-12-17-14-14-09",741,825,392,355
"2025-12-17-14-14-09",805,825,567,137
"2025-12-17-14-14-09",748,822,950,58
"2025-12-17-14-14-09",760,830,417,323
"2025-12-17-14-14-09",816,835,637,157
"2025-12-17-14-14-09",781,834,1248,313
"2025-12-17-14-14-09",797,857,413,368
"2025-12-17-14-14-09",840,814,1174,327
"2025-12-17-14-14-09",811,822,1167,347
"2025-12-17-14-14-09",822,811,931,96
"2025-12-17-14-14-09",799,821,1233,335
"2025-12-17-14-14-09",809,845,609,134
"2025-12-17-14-14-09",812,840,957,161
"2025-12-17-14-14-09",785,831,970,156
"2025-12-17-14-14-09",764,839,605,94
"2025-12-17-14-14-09",761,828,938,178
"2025-12-17-14-14-09",807,854,428,380
"2025-12-17-14-14-09",848,842,622,123
"2025-12-17-14-14-09",848,806,625,161
"2025-12-17-14-14-09",795,844,454,330
"2025-12-17-14-14-09",830,837,445,347
"2025-12-17-14-14-09",828,837,1162,302
"2025-12-17-14-14-09",814,832,991,159
"2025-12-17-14-14-09",874,857,1146,390
"2025-12-17-14-14-09",796,854,440,337
"2025-12-17-14-14-09",857,835,1234,352
"2025-12-17-14-14-09",764,842,1002,160
"2025-12-17-14-14-09",780,854,590,165
"2025-12-17-14-14-09",788,826,431,326
"2025-12-17-14-14-09",858,845,1145,329
"2025-12-17-14-14-09",742,784,952,165
"2025-12-17-14-14-09",848,838,953,80
"2025-12-17-14-14-09",812,848,967,178
"2025-12-17-14-14-09",819,828,534,115
"2025-12-17-14-14-09",781,855,355,320
"2025-12-17-14-14-09",782,848,1122,362
"2025-12-17-14-14-09",743,839,605,140
"2025-12-17-14-14-09",785,838,1111,372
"2025-12-17-14-14-09",802,847,427,376
"2025-12-17-14-14-09",855,860,1202,356
"2025-12-17-14-14-09",830,835,954,75
"2025-12-17-14-14-09",780,848,595,167
"2025-12-17-14-14-09",847,849,377,380
"2025-12-17-14-14-09",797,821,422,314
"2025-12-17-14-14-09",824,834,1002,122
"2025-12-17-14-14-09",804,832,1155,342
"2025-12-17-14-14-09",777,808,642,139
"2025-12-17-14-14-09",753,863,345,326
"2025-12-17-14-14-09",797,814,1025,147
"2025-12-17-14-14-09",766,842,987,109
"2025-12-17-14-14-09",812,840,1258,354
"2025-12-17-14-14-09",800,842,437,321
"2025-12-17-14-14-09",857,854,1237,328
"2025-12-17-14-14-09",810,838,906,165
"2025-12-17-14-14-09",757,814,638,140
"2025-12-17-14-14-09",798,839,994,154
"2025-12-17-14-14-09",771,821,615,105
"2025-12-17-14-14-09",786,820,459,346
"2025-12-17-14-14-09",803,814,1282,344
"2025-12-17-14-14-09",823,807,1006,132
"2025-12-17-14-14-09",780,840,1017,116
"2025-12-17-14-14-09",841,856,984,146
"2025-12-17-14-14-09",820,829,437,286
"2025-12-17-14-14-09",792,832,414,291
"2025-12-17-14-14-09",770,837,1214,356
"2025-12-17-14-14-09",781,822,1192,305
"2025-12-17-14-14-09",762,810,1275,395
"2025-12-17-14-14-09",740,851,1196,394
"2025-12-17-14-14-09",741,848,411,380
"2025-12-17-14-14-09",813,831,614,73
"2025-12-17-14-14-09",779,815,995,148
"2025-12-17-14-14-09",808,814,956,131
"2025-12-17-14-14-09",846,840,646,162
"2025-12-17-14-14-09",762,842,548,120
"2025-12-17-14-14-09",833,818,574,140
"2025-12-17-14-14-09",786,816,595,98
"2025-12-17-14-14-09",828,810,1122,288
"2025-12-17-14-14-09",782,843,645,82
"2025-12-17-14-14-09",770,832,371,352
"2025-12-17-14-14-09",792,863,1131,344
"2025-12-17-14-14-09",743,835,619,151
"2025-12-17-14-14-09",798,813,1020,170
"2025-12-17-14-14-09",770,825,1171,334
"2025-12-17-14-14-09",805,825,1063,168
"2025-12-17-14-14-09",803,824,415,348
"2025-12-17-14-14-09",834,837,549,150
"2025-12-17-14-14-09",859,840,1235,387
"2025-12-17-14-14-09",800,845,414,377
"2025-12-17-14-14-09",839,828,949,154
"2025-12-17-14-14-09",772,834,992,138
"2025-12-17-14-14-09",817,843,540,120
"2025-12-17-14-14-09",756,833,1288,296
"2025-12-17-14-14-09",764,831,1133,321
"2025-12-17-14-14-09",821,849,577,116
"2025-12-17-14-14-09",782,854,1004,134
"2025-12-17-14-14-09",834,854,461,369
